TradeDate,Open,High,Low,Close,Settlement,IntradayOpen,IntradayHigh,IntradayLow,IntradayClose
2021-05-05,727.00,746.00,718.25,744.00,744.50,728.00,746.00,724.25,744.00
2021-05-06,746.75,755.75,732.00,755.50,753.25,736.50,755.75,732.00,755.50
2021-05-07,753.25,767.50,745.25,763.00,761.75,764.50,767.50,745.25,763.00
2021-05-10,754.00,760.75,727.25,728.50,730.50,748.50,750.00,727.25,728.50
2021-05-11,727.75,749.00,722.75,744.00,741.75,739.75,749.00,736.50,744.00
2021-05-12,745.00,751.50,724.25,729.75,729.75,739.25,742.50,724.25,729.75
2021-05-13,733.25,734.25,690.75,705.25,701.50,720.50,724.75,690.75,705.25
2021-05-14,706.25,724.25,699.50,707.75,707.25,722.75,724.25,699.50,707.75
2021-05-17,704.00,707.50,692.00,701.50,699.75,702.00,707.50,694.50,701.50
2021-05-18,702.50,718.50,692.50,697.75,698.00,705.25,718.50,692.50,697.75
2021-05-19,698.00,699.00,671.50,683.00,679.25,681.50,687.75,671.50,683.00
2021-05-20,682.25,688.00,672.25,676.00,675.25,682.75,688.00,672.25,676.00
2021-05-21,675.50,677.50,665.75,672.75,674.25,669.75,677.25,665.75,672.75
2021-05-24,667.00,668.75,653.25,662.25,662.25,659.00,666.75,653.25,662.25
2021-05-25,663.25,667.50,646.75,657.00,656.50,663.00,664.50,646.75,657.00
2021-05-26,657.00,657.75,639.50,649.00,648.50,651.25,654.50,639.50,649.00
2021-05-27,648.25,679.50,648.00,674.25,676.25,661.00,679.50,658.00,674.25
2021-05-28,676.00,679.75,661.25,663.75,663.50,668.25,672.75,661.25,663.75
2021-06-01,673.25,702.00,672.00,691.75,693.50,684.25,702.00,680.00,691.75
2021-06-02,692.00,701.50,681.50,686.25,687.50,699.00,700.75,681.50,686.25
2021-06-03,689.50,699.25,669.25,677.00,676.25,695.75,697.25,669.25,677.00
2021-06-04,678.50,690.25,676.25,685.00,687.75,681.25,690.25,678.75,685.00
2021-06-07,694.25,704.00,678.50,680.25,680.00,698.00,698.75,678.50,680.25
2021-06-08,682.50,699.25,680.25,686.00,685.00,686.25,699.25,680.25,686.00
2021-06-09,685.00,686.00,673.50,680.50,682.25,677.25,684.00,673.50,680.50
2021-06-10,684.00,689.25,672.75,682.50,683.75,678.50,689.25,672.75,682.50
2021-06-11,682.25,688.00,669.50,681.00,680.75,676.75,685.25,669.50,681.00
2021-06-14,680.50,680.75,657.00,673.50,674.50,659.25,679.00,657.00,673.50
2021-06-15,674.50,676.25,649.00,660.75,661.50,655.50,664.25,649.00,660.75
2021-06-16,662.00,672.75,658.75,664.50,662.75,668.25,672.75,660.25,664.50
2021-06-17,663.75,667.00,637.25,639.75,643.00,650.00,660.50,637.25,639.75
2021-06-18,644.25,671.50,642.50,664.50,665.75,655.75,671.50,642.50,664.50
2021-06-21,662.00,675.75,649.25,666.25,665.00,654.00,675.75,649.25,666.25
2021-06-22,670.00,676.50,654.75,656.00,655.00,666.75,668.75,654.75,656.00
2021-06-23,657.25,672.00,657.00,664.50,663.75,661.75,672.00,657.25,664.50
